Variable,Index,Value,Bounds
flux,EDTXS2,0.0,"[0.0, 1000.0]"
flux,EDTXS3,0.0,"[0.0, 1000.0]"
flux,EDTXS4,0.0,"[0.0, 1000.0]"
flux,EX_tmao_e,0.0,"[0, 1000.0]"
flux,NNDPR,0.0016947272589333,"[0.0, 1000.0]"
flux,HACD4,0.26475835685213,"[0, 1000.0]"
flux,HACD7,0.206860879152736,"[0, 1000.0]"
flux,AACPS1,0.0,"[0.0, 1000.0]"
flux,SDPDS,0.275968999988593,"[0.0, 1000.0]"
flux,DMSOR1,0.0,"[0.0, 1000.0]"
flux,DKGLCNR2y,0.0,"[0.0, 1000.0]"
flux,2DGULRy,0.0,"[0.0, 1000.0]"
flux,RZ5PP,0.0,"[0.0, 1000.0]"
flux,NTD9,0.0,"[0.0, 1000.0]"
flux,NTD10,0.0,"[0.0, 1000.0]"
flux,ADPT,0.0,"[0.0, 1000.0]"
flux,ADK1,0.0,"[0, 1000.0]"
flux,OCTDPS,0.000165901746594428,"[0.0, 1000.0]"
flux,EX_26dap__M_e,0.0,"[0, 1000.0]"
flux,EX_acnam_e,0.0,"[0, 1000.0]"
flux,EX_amp_e,0.0,"[0, 1000.0]"
flux,EX_dha_e,0.0,"[0, 1000.0]"
flux,EX_fuc__L_e,0.0,"[0, 1000.0]"
flux,EX_glyald_e,0.0,"[0, 1000.0]"
flux,AACPS2,0.0,"[0.0, 1000.0]"
flux,AACPS3,0.094949363741496,"[0.0, 1000.0]"
flux,AACPS4,0.11191151541124,"[0.0, 1000.0]"
flux,EX_rmn_e,0.0,"[0, 1000.0]"
flux,EX_ttdca_e,0.0,"[0, 1000.0]"
flux,AMANK,0.0,"[0.0, 1000.0]"
flux,EX_glyclt_e,0.0,"[0, 1000.0]"
flux,EX_g6p_e,0.0,"[0, 1000.0]"
flux,EX_2ddglcn_e,0.0,"[0, 1000.0]"
flux,EX_galct__D_e,0.0,"[0, 1000.0]"
flux,EX_idon__L_e,0.0,"[0, 1000.0]"
flux,EX_indole_e,0.0,"[0, 1000.0]"
flux,EX_3hcinnm_e,0.0,"[0, 1000.0]"
flux,EX_acmana_e,0.0,"[0, 1000.0]"
flux,EX_galur_e,0.0,"[0, 1000.0]"
flux,EX_but_e,0.0,"[0, 1000.0]"
flux,EX_cbl1_e,0.0,"[0, 1000.0]"
flux,ACNML,0.0,"[0.0, 1000.0]"
