Reactions,Min Solutions,Max Solutions,Solution Biomass
ALATA_D2,0.0,2.36464781879441,0.195178398703224
SHCHD2,3.91723046197371e-05,4.35246457712815e-05,0.195178398703224
CPPPGO,0.0,0.0494465198011393,0.195178398703224
GTHOr,0.0,8.70126933251015,0.195178398703224
DHORD5,0.0,0.535824988170674,0.195178398703224
GLYCTO2,0.0,3.25268325296978,0.195178398703224
GLYCTO3,0.0,2.63903361179893,0.195178398703224
GLYCTO4,0.0,1.21206552179791,0.195178398703224
PFK_3,0.0,2.37644696828587,0.195178398703224
TRPS2,0.0,0.229497178912733,0.195178398703224
G3PD5,0.0,3.31850738985551,0.195178398703224
EX_acgam_e,0.0,0.0,0.195178398703224
EX_cellb_e,0.0,0.0,0.195178398703224
EX_chol_e,0.0,0.0,0.195178398703224
LEUTAi,0.079140527231546,1.45292196471706,0.195178398703224
SHK3Dr,0.0669475765222387,0.419414443667051,0.195178398703224
G5SD,0.0388306448327407,1.7167574425749,0.195178398703224
ALATA_L2,0.0,3.29286481290995,0.195178398703224
MAN6PI,0.0,0.0,0.195178398703224
APRAUR,7.83446092867215e-05,0.0702493139781178,0.195178398703224
DB4PS,0.000156689218573443,0.140498618784053,0.195178398703224
RBFK,3.91723046669844e-05,1.28891599862671,0.195178398703224
ACP1_FMN,0.0,1.28887682652249,0.195178398703224
RBFSb,7.83446092867214e-05,0.0702493102212309,0.195178398703224
EX_pi_e,-0.329918039794393,-0.169443228995306,0.195178398703224
EX_h_e,-1.97874641300427,21.1084482074506,0.195178398703224
DMATT,4.88336353555459e-05,5.42595958636872e-05,0.195178398703224
GRTT,4.88336353555459e-05,5.42595958636872e-05,0.195178398703224
UPP3S,7.83446092394741e-05,0.049485693420254,0.195178398703224
UPPDC1,3.9172304619737e-05,0.0494465197898532,0.195178398703224
TMDPP,0.0,0.265582507311024,0.195178398703224
EX_ade_e,0.0,0.15408424997728,0.195178398703224
EX_4abut_e,0.0,0.978049390488919,0.195178398703224
EX_ac_e,0.0,17.7360630300815,0.195178398703224
EX_akg_e,0.0,1.24528831099713,0.195178398703224
EX_ala__L_e,0.0,6.08260370393611,0.195178398703224
EX_arg__L_e,0.0,0.269333987172947,0.195178398703224
EX_asp__L_e,0.0,1.86242307716231,0.195178398703224
EX_cytd_e,0.0,0.238238193273351,0.195178398703224
EX_dcyt_e,0.0,0.0,0.195178398703224
EX_fum_e,0.0,2.13642132806146,0.195178398703224
EX_glu__L_e,0.0,1.14938727929359,0.195178398703224
EX_gua_e,0.0,0.142865839365072,0.195178398703224
HCO3E,0.0923314055742139,1.09410235170765,0.195178398703224
IMPC,-0.282624210413474,-0.0953014743074618,0.195178398703224
IMPD,0.0,0.833186215716521,0.195178398703224
ECOAH4,-0.113588710614067,0.19147487279065,0.195178398703224
GLUTRS,0.00062675687406661,0.395885519794464,0.195178398703224
TMPPP,3.91723046197371e-05,4.35246458444016e-05,0.195178398703224
URIK1,0.0,1.70265568202791,0.195178398703224
URIK2,0.0,1.65134173251288,0.195178398703224
CYTDK1,0.0,1.90754373849353,0.195178398703224
CYTDK2,0.0,1.88023690436736,0.195178398703224
XPPT,0.0,1.01163933064335,0.195178398703224
HXPRT,0.0,0.836340177353675,0.195178398703224
NDPK5,-1.15106148331768,0.945105645746594,0.195178398703224
DHORTS,-0.535950679804159,-0.0581076345574729,0.195178398703224
OMPDC,0.0581076345579265,0.535950674295309,0.195178398703224
CS,0.188868827573792,2.03832333149812,0.195178398703224
ICDHyr,0.188868827573742,1.43660192986192,0.195178398703224
ACALD,-2.80933010727097,2.10570413262519,0.195178398703224
ACS,0.0,1.39422290949573,0.195178398703224
PPA,0.547976099504096,2.30078806312433,0.195178398703224
PPCK,0.0,1.84782496180487,0.195178398703224
ME1,0.0,2.14459986114425,0.195178398703224
ALAR,0.00732188341294204,2.63267052896106,0.195178398703224
ALATA_L,-14.9262378913178,16.5824486277048,0.195178398703224
XYLK,0.0,0.0,0.195178398703224
RBK,0.0,1.84874460676928,0.195178398703224
GLYK,0.0,1.8472724385666,0.195178398703224
PPM,-99.417857498377,0.946353808302888,0.195178398703224
ASPTA,-9.30732391569734,-0.514303024333799,0.195178398703224
FBP,0.0,1.31253828092645,0.195178398703224
GLGC,0.0,1.11311791952976,0.195178398703224
PYK,0.0,9.9746962917608,0.195178398703224
A5PISO,0.00683530366518426,0.0498222346966486,0.195178398703224
EX_met__L_e,0.0,0.159024479230746,0.195178398703224
EX_metsox_S__L_e,0.0,0.0,0.195178398703224
IPPMIb,-1.45292207938587,-0.079140527231516,0.195178398703224
