Key,Value
GLUtex_b0929,722.04866898432
GLYtex_b0929,275.76217088265275
GLYALDtex_b0929,96.60052969528859
GLYBtex_b0929,249.78045399520002
GLYCtex_b0929,306.54096271826074
GLYC3Ptex_b0929,178.90549914607186
GLYCLTtex_b0929,546.6700067595675
GTPtex_b0929,100.50397978514569
Htex_b0929,553.1675181320361
H2tex_b0929,460.94358548897094
H2Otex_b0929,
DAPtex_b0929,349.2369189332844
12PPDStex_b0929,411.83438829722354
DDGLCNtex_b0929,280.3646837667969
26DAHtex_b0929,2418.919078909408
HCINNMtex_b0929,159.7378472839057
HPPPNtex_b0929,182.84074410277125
ACtex_b0929,589.4747340774204
ACALDtex_b0929,1719.7126354638192
ACMANAtex_b0929,457.9595880005335
ACMUMtex_b0929,620.6822721493712
GALtex_b0929,480.004013320223
GALCTtex_b0929,755.0252992680622
GALCTNtex_b0929,294.36479204915804
GALTtex_b0929,254.56965789394107
GALURtex_b0929,1157.0428353075793
GAMtex_b0929,135.76376001808148
GBBTNtex_b0929,285.0472262474655
HIStex_b0929,106.92605966316793
HXAtex_b0929,256.89567858008263
HYXNtex_b0929,242.30757451104571
IDONtex_b0929,294.36479204915804
ILEtex_b0929,914.0645254475605
INSTtex_b0929,641.5830138008678
Ktex_b0929,897.7047508081023
D_LACtex_b0929,484.9448476885575
FRULYStex_b0929,2507.615552886865
ASPtex_b0929,377.1337153956958
INDOLEtex_b0929,51.162301142149744
L_LACtex_b0929,474.2152771074716
GLCRtex_b0929,
GLCNtex_b0929,294.07725462313704
GLCURtex_b0929,1170.574423680475
GLNtex_b0929,943.7649506353754
O2tex_b0929,303.4657765580012
OCTAtex_b0929,190.49527634005338
ORNtex_b0929,2108.5854020797765
RMNtex_b0929,1309.815281720514
PHEtex_b0929,133.8840584689173
PItex_b0929,690.0728204833127
PNTOtex_b0929,101.963367206772
PPPNtex_b0929,286.8410150542997
PPTtex_b0929,
PTRCtex_b0929,476.14003292952964
PYRtex_b0929,1109.5159634546785
DSERtex_b0929,211.4806358805565
SERtex_b0929,274.66934525232614
SO4tex_b0929,538.2729906770364
SPMDtex_b0929,921.0010322276238
SUCCtex_b0929,684.311317110205
SUCRtex_b0929,2276.6606933172225
TARTRtex_b0929,379.606003587653
TAURtex_b0929,4900.152234017003
THRtex_b0929,365.6656990739411
THMDtex_b0929,283.79570356354077
METDtex_b0929,1937.510445019546
METtex_b0929,1971.1711610946402
MNLtex_b0929,254.64212293569946
NAtex_b0929,812.9944578240778
NACtex_b0929,191.07508245764888
NH4tex_b0929,700.8554030949495
BUTtex_b0929,
CHLtex_b0929,161.00553156543887
CO2tex_b0929,799.5578485125164
CRNtex_b0929,634.6103563953809
DINStex_b0929,390.28789791853427
DMStex_b0929,455.9903116323911
CSNtex_b0929,130.30010069499323
CYNTtex_b0929,397.50095289640404
CYStex_b0929,419.9849015143157
CYTDtex_b0929,249.77855184939395
DCAtex_b0929,
DGSNtex_b0929,200.90111579942408
LCTStex_b0929,
LEUtex_b0929,694.831235705787
LYStex_b0929,1081.8112490120293
LYXtex_b0929,1159.7116828867881
MANtex_b0929,968.551917393208
MAN6Ptex_b0929,809.2511726517163
MELIBtex_b0929,
DMSOtex_b0929,295.71916829121346
FRUtex_b0929,743.7178885769645
FUCtex_b0929,
FUMtex_b0929,936.101594725961
FE2tex_b0929,719.4172048000034
NMNtex_b0929,563.1279447275834
NO2tex_b0929,773.3052599271732
GDPtex_b0929,133.3224879541281
TMAtex_b0929,948.0386261796265
TMAOtex_b0929,714.0934088320648
TREtex_b0929,803.102883662981
TRPtex_b0929,67.57556741525882
TSULtex_b0929,1204.145040352283
TYRtex_b0929,176.33301223056995
URAtex_b0929,415.6518000876318
UREAtex_b0929,542.7352109567984
VALtex_b0929,491.83984320781593
XANtex_b0929,433.98964629722263
XYLtex_b0929,1159.7116828867881
ABUTtex_b0929,609.2781309603457
23CAMPtex_b0929,240.92096832501707
23CCMPtex_b0929,86.08809084644672
23CUMPtex_b0929,220.61556645843555
23CGMPtex_b0929,73.70012597039634
3AMPtex_b0929,1692.1820421222342
3CMPtex_b0929,631.95350500157
ETHSO3tex_b0929,1164.8025490096238
BUTSO3tex_b0929,583.3591511927162
LIPOtex_b0929,506.82840255143594
GALBDtex_b0929,484.26492283031337
SULFACtex_b0929,1427.8373082818573
NOtex_b0929,
N2Otex_b0929,1046.7749259000343
PEAMNtex_b0929,256.53220375447137
PACALDtex_b0929,869.454775713122
CYANtex_b0929,590.0627545094243
SO3tex_b0929,174.30695002134397
TCYNTtex_b0929,129.50610943539004
METSOX1tex_b0929,
METSOX2tex_b0929,642.8283913438503
3UMPtex_b0929,860.2021975438342
3GMPtex_b0929,501.1335384865603
DOPAtex_b0929,211.56746107421657
4HOXPACDtex_b0929,1006.4319295186476
ETHAtex_b0929,258.3461785378407
G3PStex_b0929,329.27410550511405
ACGAL1Ptex_b0929,
ACGALtex_b0929,454.7006343798728
GLCUR1Ptex_b0929,
UDPGLCURtex_b0929,107.80880920317648
ISETACtex_b0929,2274.8636674116924
UDPGtex_b0929,109.21960696811479
UDPGALtex_b0929,109.21960696811479
ACGAM1Ptex_b0929,690.5479845305819
UACGAMtex_b0929,121.76724044543126
UDPACGALtex_b0929,121.76724044543126
MSO3tex_b0929,930.4628629085388
GLYC2Ptex_b0929,296.54409093370424
PSERtex_b0929,531.6818822942209
R5Ptex_b0929,720.5719219584452
THRPtex_b0929,2437.6516433913157
TYRPtex_b0929,518.1021945665155
CITtex_b0929,261.9934632468477
ACGAtex_b0929,457.9595880005335
G6Ptex_b0929,809.2511726517163
MOBDtex_b0929,341.3960234454838
NI2tex_b0929,
H2O2tex_b0929,450.69017793317084
ADEtex_b0929,254.78360295689598
AGMtex_b0929,95.56552316923856
ALAtex_b0929,274.60367389728975
BALAtex_b0929,250.3670735803758
DALAtex_b0929,274.60367389728975
AMPtex_b0929,
ARBtex_b0929,482.60734239307686
ARGtex_b0929,594.5672294398846
ASCBtex_b0929,208.45596986338646
MMETtex_b0929,345.19358915266525
FE3tex_b0929,780.4758184422267
MG2tex_b0929,620.0114293691547
Zn2tex_b0929,546.2780756088283
CD2tex_b0929,507.4410936747758
ASO3tex_b0929,740.0127069902617
MANGLYCtex_b0929,276.5292824179085
FRUURtex_b0929,2020.7886283287453
GLYCAtex_b0929,231.50331395333262
COBALT2tex_b0929,450.5623747599255
DIMPtex_b0929,162.66257088949166
XTSNtex_b0929,191.48331455663768
HG2tex_b0929,557.524225701813
DHAtex_b0929,317.31665497615995
ETOHtex_b0929,315.75655262844003
ACACtex_b0929,254.05640092945427
ACNAMtex_b0929,215.3147497853213
H2Stex_b0929,446.7049289765215
